,Title,Cast,Year,Ratings,Votes
0,Planet Earth II,"David Attenborough, Gordon Buchanan",(2016),9.4,14898
1,Breaking Bad,"Bryan Cranston, Aaron Paul",(2008),9.4,1952
2,Planet Earth,"Sigourney Weaver, David Attenborough",(2006),9.4,21268
3,Band of Brothers,"Scott Grimes, Damian Lewis",(2001),9.4,47990
4,Chernobyl,"Jessie Buckley, Jared Harris",(2019),9.3,78718
5,The Wire,"Dominic West, Lance Reddick",(2002),9.3,34922
6,Avatar: The Last Airbender,"Dee Bradley Baker, Zach Tyler Eisen",(2005),9.2,32699
7,Blue Planet II,"David Attenborough, Peter Drost",(2017),9.2,42703
8,The Sopranos,"James Gandolfini, Lorraine Bracco",(1999),9.2,41696
9,Cosmos: A Spacetime Odyssey,"Neil deGrasse Tyson, Christopher Emerson",(2014),9.2,12379
10,Cosmos,"Carl Sagan, Jaromír Hanzlík",(1980),9.2,41925
11,Our Planet,David Attenborough,(2019),9.2,45426
12,Game of Thrones,"Emilia Clarke, Peter Dinklage",(2011),9.1,2146
13,The World at War,"Laurence Olivier, Averell Harriman",(1973),9.1,26612
14,Rick and Morty,"Justin Roiland, Chris Parnell",(2013),9.1,54501
15,Hagane no renkinjutsushi,"Kent Williams, Iemasa Kayumi",(2009),9.0,17589
16,The Last Dance,"Michael Jordan, Phil Jackson",(2020),9.0,13116
17,Life,"Oprah Winfrey, David Attenborough",(2009),9.0,41508
18,The Twilight Zone,"Rod Serling, Robert McCord",(1959),9.0,86408
19,Sherlock,"Benedict Cumberbatch, Martin Freeman",(2010),9.0,94423
20,Bluey,"David McCormack, Melanie Zanetti",(2018),9.0,14392
21,The Vietnam War,"Peter Coyote, Huy Duc",(2017),9.0,25759
22,Batman: The Animated Series,"Kevin Conroy, Loren Lester",(1992),9.0,10742
23,Scam 1992: The Harshad Mehta Story,"Pratik Gandhi, Shreya Dhanwanthary",(2020),8.9,14722
24,Shingeki no Kyojin,"Josh Grelle, Bryce Papenbrook",(2013),8.9,40291
25,Arcane: League of Legends,"Hailee Steinfeld, Kevin Alejandro",(2021),8.9,22270
26,The Blue Planet,"David Attenborough, Pierce Brosnan",(2001),8.9,40631
27,The Office,"Steve Carell, Jenna Fischer",(2005),8.9,62971
28,Firefly,"Nathan Fillion, Gina Torres",(2002),8.9,27023
29,Human Planet,"John Hurt, Roger Munns",(2011),8.9,26852
30,Frozen Planet,"David Attenborough, Alec Baldwin",(2011),8.9,31377
31,Death Note: Desu nôto,"Mamoru Miyano, Brad Swaile",(2006),8.9,33797
32,Better Call Saul,"Bob Odenkirk, Rhea Seehorn",(2015),8.9,56188
33,Clarkson's Farm,"Jeremy Clarkson, Kaleb Cooper",(2021),8.9,46327
34,Only Fools and Horses....,"David Jason, Nicholas Lyndhurst",(1981),8.9,53435
35,The Civil War,"David McCullough, Sam Waterston",(1990),8.9,17116
36,Hunter x Hunter,"Issei Futamata, Megumi Han",(2011),8.9,10848
37,True Detective,"Vince Vaughn, Colin Farrell",(2014),8.9,58769
38,Seinfeld,"Jerry Seinfeld, Julia Louis-Dreyfus",(1989),8.9,32843
39,Dekalog,"Artur Barcis, Olgierd Lukaszewicz",(1989),8.9,26388
40,Sahsiyet,"Haluk Bilginer, Cansu Dere",(2018),8.9,42929
41,The Beatles: Get Back,,(2021),8.9,24413
42,Fargo,"Billy Bob Thornton, Martin Freeman",(2014),8.9,38080
43,Kaubôi bibappu: Cowboy Bebop,"Kôichi Yamadera, Unshô Ishizuka",(1998),8.9,12497
44,Nathan for You,"Nathan Fielder, Anthony Filosa",(2013),8.8,33148
45,Gravity Falls,"Jason Ritter, Alex Hirsch",(2012),8.8,11587
46,When They See Us,"Asante Blackk, Caleel Harris",(2019),8.8,12620
47,Last Week Tonight with John Oliver,"John Oliver, David Kaye",(2014),8.8,91120
48,Friends,"Jennifer Aniston, Courteney Cox",(1994),8.8,1018
49,The Last of Us,"Pedro Pascal, Bella Ramsey",(2023),8.8,36557
50,Apocalypse: La 2ème guerre mondiale,"Mathieu Kassovitz, Martin Sheen",(2009),8.8,13092
51,Africa,"David Attenborough, Simon Blakeney",(2013),8.8,16383
52,TVF Pitchers,"Naveen Kasturia, Arunabh Kumar",(2015),8.8,69914
53,It's Always Sunny in Philadelphia,"Charlie Day, Rob McElhenney",(2005),8.8,23248
54,Monty Python's Flying Circus,"Graham Chapman, John Cleese",(1969),8.8,75923
55,Taskmaster,"Greg Davies, Alex Horne",(2015),8.8,14867
56,Das Boot,"Jürgen Prochnow, Herbert Grönemeyer",(1985),8.8,31295
57,The West Wing,"Martin Sheen, Rob Lowe",(1999),8.8,79559
58,Gibi,"Feyyaz Yigit, Kivanç Kilinç",(2021),8.8,16598
59,Curb Your Enthusiasm,"Larry David, Cheryl Hines",(2000),8.8,13294
60,Leyla ile Mecnun,"Serkan Keskin, Ahmet Mümtaz Taylan",(2011),8.8,94660
61,Fawlty Towers,"John Cleese, Prunella Scales",(1975),8.8,95672
62,Pride and Prejudice,"Colin Firth, Jennifer Ehle",(1995),8.8,87188
63,Freaks and Geeks,"Linda Cardellini, John Francis Daley",(1999),8.7,14602
64,Blackadder Goes Forth,"Rowan Atkinson, Tony Robinson",(1989),8.7,54218
65,Twin Peaks,"Kyle MacLachlan, Michael Ontkean",(1990),8.7,20260
66,BoJack Horseman,"Will Arnett, Amy Sedaris",(2014),8.7,16624
67,Succession,"Nicholas Braun, Brian Cox",(2018),8.7,16742
68,Black Mirror,"Daniel Lapaine, Hannah John-Kamen",(2011),8.7,56495
69,Narcos,"Pedro Pascal, Wagner Moura",(2015),8.7,43669
70,Dragon Ball Z,"Doc Harris, Christopher Sabat",(1989),8.7,13550
71,Chappelle's Show,"Dave Chappelle, Donnell Rawlings",(2003),8.7,67166
72,One Piece: Wan pîsu,"Mayumi Tanaka, Laurent Vernin",(1999),8.7,13572
73,Dragon Ball Z: Doragon bôru zetto,"Jôji Yanami, Kyle Hebert",(1989),8.7,82099
74,"I, Claudius","Derek Jacobi, John Hurt",(1976),8.7,18098
75,South Park,"Trey Parker, Matt Stone",(1997),8.7,38304
76,Over the Garden Wall,"Elijah Wood, Collin Dean",(2014),8.7,60285
77,Rome,"Kevin McKidd, Ray Stevenson",(2005),8.7,17552
78,Six Feet Under,"Peter Krause, Michael C. Hall",(2001),8.7,13800
79,Ted Lasso,"Jason Sudeikis, Brett Goldstein",(2020),8.7,24365
80,Kota Factory,"Mayur More, Jitendra Kumar",(2019),8.7,74206
81,Peaky Blinders,"Cillian Murphy, Paul Anderson",(2013),8.7,57310
82,Oz,"Ernie Hudson, J.K. Simmons",(1997),8.7,10167
83,Dark,"Louis Hofmann, Karoline Eichhorn",(2017),8.7,40430
84,Steins;Gate,"Mamoru Miyano, Asami Imai",(2011),8.7,65513
85,The Boys,"Karl Urban, Jack Quaid",(2019),8.7,54097
86,Arrested Development,"Jason Bateman, Michael Cera",(2003),8.7,31082
87,The Mandalorian,"Pedro Pascal, Chris Bartlett",(2019),8.7,52424
88,Fleabag,"Phoebe Waller-Bridge, Sian Clifford",(2016),8.7,16927
89,The Simpsons,"Dan Castellaneta, Nancy Cartwright",(1989),8.7,41513
90,Gullak,"Jameel Khan, Geetanjali Kulkarni",(2019),8.7,18327
91,One Punch Man: Wanpanman,"Makoto Furukawa, Kaito Ishikawa",(2015),8.7,16732
92,The Shield,"Michael Chiklis, Walton Goggins",(2002),8.6,82815
93,Battlestar Galactica,"Edward James Olmos, Mary McDonnell",(2004),8.6,16900
94,House M.D.,"Hugh Laurie, Omar Epps",(2004),8.6,47505
